date,price_index
2009-09-01,154.168
2009-10-01,153.445
2009-11-01,154.075
2009-12-01,153.725
2010-01-01,153.411
2010-02-01,153.701
2010-03-01,153.358
2010-04-01,153.973
2010-05-01,155.024
2010-06-01,156.466
2010-07-01,157.111
2010-08-01,157.372
2010-09-01,156.636
2010-10-01,156.014
2010-11-01,155.761
2010-12-01,156.175
2011-01-01,156.677
2011-02-01,156.882
2011-03-01,156.833
2011-04-01,155.909
2011-05-01,157.739
2011-06-01,157.685
2011-07-01,157.391
2011-08-01,158.099
2011-09-01,157.549
2011-10-01,157.065
2011-11-01,155.496
2011-12-01,156.006
2012-01-01,159.002
2012-02-01,157.399
2012-03-01,157.287
2012-04-01,157.378
2012-05-01,158.141
2012-06-01,161.967
2012-07-01,162.377
2012-08-01,161.244
2012-09-01,160.907
2012-10-01,162.113
2012-11-01,161.144
2012-12-01,161.796
2013-01-01,161.916
2013-02-01,160.993
2013-03-01,160.553
2013-04-01,159.256
2013-05-01,160.51
2013-06-01,161.467
2013-07-01,162.398
2013-08-01,162.856
2013-09-01,162.042
2013-10-01,161.667
2013-11-01,163.66
2013-12-01,163.864
2014-01-01,164.399
2014-02-01,163.979
2014-03-01,164.024
2014-04-01,165.024
2014-05-01,164.717
2014-06-01,165.117
2014-07-01,166.455
2014-08-01,165.932
2014-09-01,164.893
2014-10-01,164.23
2014-11-01,163.637
2014-12-01,164.586
2015-01-01,164.704
2015-02-01,166.217
2015-03-01,168.106
2015-04-01,168.73
2015-05-01,168.981
2015-06-01,168.494
2015-07-01,168.777
2015-08-01,168.727
2015-09-01,168.254
2015-10-01,168.526
2015-11-01,169.546
2015-12-01,171.884
2016-01-01,170.532
2016-02-01,170.635
2016-03-01,174.62
2016-04-01,174.936
2016-05-01,175.455
2016-06-01,176.303
2016-07-01,174.501
2016-08-01,175.02
2016-09-01,175.609
2016-10-01,174.305
2016-11-01,176.012
2016-12-01,176.238
2017-01-01,176.399
2017-02-01,177.391
2017-03-01,176.939
2017-04-01,177.536
2017-05-01,178.41
2017-06-01,178.873
2017-07-01,179.374
2017-08-01,181.172
2017-09-01,180.337
2017-10-01,179.782
2017-11-01,180.805
2017-12-01,180.94
2018-01-01,180.433
2018-02-01,182.198
2018-03-01,182.049
2018-04-01,180.992
2018-05-01,182.291
2018-06-01,184.203
2018-07-01,184.789
2018-08-01,183.542
2018-09-01,183.286
2018-10-01,183.282
2018-11-01,182.109
2018-12-01,182.899
2019-01-01,182.806
2019-02-01,183.353
2019-03-01,184.355
2019-04-01,184.811
2019-05-01,186.395
2019-06-01,185.882
2019-07-01,186.611
2019-08-01,187.345
2019-09-01,186.828
2019-10-01,188.214
2019-11-01,188.09
2019-12-01,187.226
2020-01-01,187.781
2020-02-01,189.097
2020-03-01,190.094
2020-04-01,188.129
2020-05-01,192.183
2020-06-01,193.557
2020-07-01,185.452
2020-08-01,188.142
2020-09-01,187.431
2020-10-01,187.632
2020-11-01,189.093
2020-12-01,189.497
2021-01-01,189.962
2021-02-01,191.18
2021-03-01,193.267
2021-04-01,193.202
2021-05-01,192.026
2021-06-01,193.83
2021-07-01,197.176
2021-08-01,195.903
2021-09-01,195.781
2021-10-01,196.023
2021-11-01,197.515
2021-12-01,198.719
2022-01-01,200.342
2022-02-01,199.95
2022-03-01,202.214
2022-04-01,204.389
2022-05-01,204.41
2022-06-01,206.238
2022-07-01,209.319
2022-08-01,208.127
2022-09-01,206.917
2022-10-01,208.79
2022-11-01,212.133
2022-12-01,211.575
2023-01-01,213.386
2023-02-01,213.034
2023-03-01,215.38
2023-04-01,218.441
2023-05-01,217.889
2023-06-01,218.948
2023-07-01,219.131
2023-08-01,218.875
2023-09-01,218.054
2023-10-01,218.163
2023-11-01,221.462
2023-12-01,223.66
2024-01-01,224.532
2024-02-01,226.238
2024-03-01,226.087
2024-04-01,225.907
2024-05-01,224.519
2024-06-01,225.668
2024-07-01,227.58
2024-08-01,226.579
2024-09-01,223.677
2024-10-01,225.679
